curriculum,grade,subject,topic,subtopic,target_total,target_mcq,target_fill,target_match,target_frq
IB,Grade 12,Biology HL,Ecology & Conservation (HL),Eutrophication & Bioaccumulation,26,10,6,2,8
IB,Grade 12,Biology HL,Evolution & Biodiversity,Classification & Cladistics,26,10,6,2,8
IB,Grade 12,Biology HL,Evolution & Biodiversity,"Evidence for Evolution (Fossils, Biogeography)",26,10,6,2,8
IB,Grade 12,Biology HL,Evolution & Biodiversity,Genetic Variation: Mutation & Meiosis,26,10,6,2,8
IB,Grade 12,Biology HL,Evolution & Biodiversity,Natural Selection & Adaptation,26,10,6,2,8
IB,Grade 12,Biology HL,Evolution & Biodiversity,Phylogenetic Trees (Reading & Inference),26,10,6,2,8
IB,Grade 12,Biology HL,Evolution & Biodiversity,Speciation: Isolation & Barriers,26,10,6,2,8
IB,Grade 12,Biology HL,Experimental Design & Data Analysis,"Data Tables, Graphs & Best-Fit Lines",26,10,6,2,8
IB,Grade 12,Biology HL,Experimental Design & Data Analysis,Measurement Error & Uncertainty,26,10,6,2,8
IB,Grade 12,Biology HL,Experimental Design & Data Analysis,"Sampling, Bias & Ethics",26,10,6,2,8
IB,Grade 12,Biology HL,Experimental Design & Data Analysis,Scientific Communication & Evaluation,26,10,6,2,8
IB,Grade 12,Biology HL,Experimental Design & Data Analysis,"Statistical Ideas (Mean/SD, Error Bars)",26,10,6,2,8
IB,Grade 12,Biology HL,Experimental Design & Data Analysis,"Variables, Controls & Hypotheses",26,10,6,2,8
IB,Grade 12,Biology HL,Genetics,"Chromosomes, Karyotyping & Non-disjunction",26,10,6,2,8
IB,Grade 12,Biology HL,Genetics,Ethics of Genetics & GMOs (Intro),26,10,6,2,8
IB,Grade 12,Biology HL,Genetics,"Gene Pools, Selection & Evolution (Intro)",26,10,6,2,8
IB,Grade 12,Biology HL,Genetics,"Genes, Alleles & Loci; Mutations",26,10,6,2,8
IB,Grade 12,Biology HL,Genetics,Inheritance Patterns (Monohybrid Basics),26,10,6,2,8
IB,Grade 12,Biology HL,Genetics,Meiosis & Genetic Variation,26,10,6,2,8
IB,Grade 12,Biology HL,Genetics & Evolution (HL),Hardy–Weinberg Equilibrium,26,10,6,2,8
IB,Grade 12,Biology HL,Genetics & Evolution (HL),"Linkage, Recombination & Gene Mapping",26,10,6,2,8
IB,Grade 12,Biology HL,Genetics & Evolution (HL),Molecular Evolution & Clocks,26,10,6,2,8
IB,Grade 12,Biology HL,Genetics & Evolution (HL),Polygenic Inheritance & Continuous Variation,26,10,6,2,8
IB,Grade 12,Biology HL,Genetics & Evolution (HL),Population Genetics & Selection,26,10,6,2,8
IB,Grade 12,Biology HL,Genetics & Evolution (HL),Speciation Models & Rates,26,10,6,2,8
IB,Grade 12,Biology HL,Genomics & Bioinformatics (HL),Comparative Genomics & Orthologs,26,10,6,2,8
IB,Grade 12,Biology HL,Genomics & Bioinformatics (HL),Gene Annotation & Databases (NCBI/ENSEMBL),26,10,6,2,8
IB,Grade 12,Biology HL,Genomics & Bioinformatics (HL),Genome Sequencing & Assembly,26,10,6,2,8
IB,Grade 12,Biology HL,Genomics & Bioinformatics (HL),Phylogenomics & Tree Building,26,10,6,2,8
IB,Grade 12,Biology HL,Genomics & Bioinformatics (HL),"SNPs, GWAS & Personalized Medicine",26,10,6,2,8
IB,Grade 12,Biology HL,Genomics & Bioinformatics (HL),Transcriptomics & Proteomics (Intro),26,10,6,2,8
IB,Grade 12,Biology HL,Human Health & Disease (HL),Antibiotics & Resistance Mechanisms,26,10,6,2,8
IB,Grade 12,Biology HL,Human Health & Disease (HL),"Epidemiology Basics (R0, Outbreak Curves)",26,10,6,2,8
IB,Grade 12,Biology HL,Human Health & Disease (HL),Innate vs Adaptive Immunity (Detail),26,10,6,2,8
IB,Grade 12,Biology HL,Human Health & Disease (HL),Non-Communicable Diseases (Risk Factors),26,10,6,2,8
IB,Grade 12,Biology HL,Human Health & Disease (HL),Pathogens & Transmission,26,10,6,2,8
IB,Grade 12,Biology HL,Human Health & Disease (HL),Vaccination Strategies & Herd Immunity,26,10,6,2,8
IB,Grade 12,Biology HL,Human Physiology,Circulation & Cardiac Cycle,26,10,6,2,8
IB,Grade 12,Biology HL,Human Physiology,Digestion & Absorption,26,10,6,2,8
IB,Grade 12,Biology HL,Human Physiology,Hormones & Homeostasis (Glucose/Osmoregulation),26,10,6,2,8
IB,Grade 12,Biology HL,Human Physiology,Immunity: Antibodies & Vaccination (Intro),26,10,6,2,8
IB,Grade 12,Biology HL,Human Physiology,Neurons & Synapses (Intro),26,10,6,2,8
IB,Grade 12,Biology HL,Human Physiology,Ventilation & Gas Exchange,26,10,6,2,8
IB,Grade 12,Biology HL,Membrane Structure & Transport (HL),Co-transport & Secondary Active Transport,26,10,6,2,8
IB,Grade 12,Biology HL,Membrane Structure & Transport (HL),Endocytosis/Exocytosis & Vesicle Trafficking,26,10,6,2,8
IB,Grade 12,Biology HL,Membrane Structure & Transport (HL),Membrane Fluidity & Composition,26,10,6,2,8
IB,Grade 12,Biology HL,Membrane Structure & Transport (HL),Membrane Potential & Electrochem Gradients,26,10,6,2,8
IB,Grade 12,Biology HL,Membrane Structure & Transport (HL),Receptor-Mediated Endocytosis,26,10,6,2,8
IB,Grade 12,Biology HL,Membrane Structure & Transport (HL),Transporters vs Channels,26,10,6,2,8
IB,Grade 12,Biology HL,"Metabolism, Respiration & Photosynthesis (HL)","Calvin Cycle, Rubisco & Regulation",26,10,6,2,8
IB,Grade 12,Biology HL,"Metabolism, Respiration & Photosynthesis (HL)",Electron Transport Chain & Chemiosmosis,26,10,6,2,8
IB,Grade 12,Biology HL,"Metabolism, Respiration & Photosynthesis (HL)","Glycolysis, Link Reaction & Krebs Cycle",26,10,6,2,8
IB,Grade 12,Biology HL,"Metabolism, Respiration & Photosynthesis (HL)",Limiting Factors & Adaptations,26,10,6,2,8
IB,Grade 12,Biology HL,"Metabolism, Respiration & Photosynthesis (HL)",Metabolic Pathways & Enzyme Inhibition,26,10,6,2,8
IB,Grade 12,Biology HL,"Metabolism, Respiration & Photosynthesis (HL)",Photosystems I/II & Photophosphorylation,26,10,6,2,8
IB,Grade 12,Biology HL,Molecular Biology,Biotech Basics: PCR & Gel Electrophoresis (Intro),26,10,6,2,8
IB,Grade 12,Biology HL,Molecular Biology,"Carbohydrates, Lipids & Proteins",26,10,6,2,8
IB,Grade 12,Biology HL,Molecular Biology,Central Dogma (Basic): Replication/Transcription/Translation,26,10,6,2,8
IB,Grade 12,Biology HL,Molecular Biology,DNA vs RNA Structure,26,10,6,2,8
IB,Grade 12,Biology HL,Molecular Biology,Enzymes: Mechanism & Factors,26,10,6,2,8
IB,Grade 12,Biology HL,Molecular Biology,Water Properties & Biological Significance,26,10,6,2,8
IB,Grade 12,Biology HL,Neurobiology & Behaviour (HL),Animal Communication & Orientation,26,10,6,2,8
IB,Grade 12,Biology HL,Neurobiology & Behaviour (HL),Brain Imaging Techniques (fMRI/EEG),26,10,6,2,8
IB,Grade 12,Biology HL,Neurobiology & Behaviour (HL),Neuronal Networks & Plasticity,26,10,6,2,8
IB,Grade 12,Biology HL,Neurobiology & Behaviour (HL),"Reflexes, Learning & Memory (Intro)",26,10,6,2,8
IB,Grade 12,Biology HL,Neurobiology & Behaviour (HL),Sensory Receptors & Phototransduction,26,10,6,2,8
IB,Grade 12,Biology HL,Neurobiology & Behaviour (HL),Synaptic Transmission & Summation,26,10,6,2,8
IB,Grade 12,Biology HL,Nucleic Acids (HL),DNA Replication Enzymes & Origins,26,10,6,2,8
IB,Grade 12,Biology HL,Nucleic Acids (HL),DNA Supercoiling & Nucleosomes,26,10,6,2,8
IB,Grade 12,Biology HL,Nucleic Acids (HL),Gene Expression Regulation (Epigenetics),26,10,6,2,8
IB,Grade 12,Biology HL,Nucleic Acids (HL),Genetic Code & Wobble Hypothesis,26,10,6,2,8
IB,Grade 12,Biology HL,Nucleic Acids (HL),Transcription & RNA Processing,26,10,6,2,8
IB,Grade 12,Biology HL,Nucleic Acids (HL),Translation: Initiation to Termination,26,10,6,2,8
IB,Grade 12,Biology HL,Plant Biology (HL),Meristems & Plant Growth,26,10,6,2,8
IB,Grade 12,Biology HL,Plant Biology (HL),Phloem Translocation & Pressure-Flow,26,10,6,2,8
IB,Grade 12,Biology HL,Plant Biology (HL),Reproduction of Flowering Plants,26,10,6,2,8
IB,Grade 12,Biology HL,Plant Biology (HL),Stomatal Regulation & Gas Exchange,26,10,6,2,8
IB,Grade 12,Biology HL,Plant Biology (HL),Tropisms & Auxin Signalling,26,10,6,2,8
IB,Grade 12,Biology HL,Plant Biology (HL),Xylem Transport & Transpiration Pull,26,10,6,2,8
IB,Grade 12,Biology SL,Cell Biology,Cell Division: Cell Cycle & Mitosis,20,8,4,2,6
IB,Grade 12,Biology SL,Cell Biology,Cell Theory & Cell Size (SA:V),20,8,4,2,6
IB,Grade 12,Biology SL,Cell Biology,Membrane Structure & Transport (Intro),20,8,4,2,6
IB,Grade 12,Biology SL,Cell Biology,"Microscopy, Magnification & Measurement",20,8,4,2,6
IB,Grade 12,Biology SL,Cell Biology,Origin of Cells & Endosymbiosis,20,8,4,2,6
IB,Grade 12,Biology SL,Cell Biology,Prokaryotic vs Eukaryotic Ultrastructure,20,8,4,2,6
IB,Grade 12,Biology SL,Ecology,Climate Change: Evidence & Impacts (Intro),20,8,4,2,6
IB,Grade 12,Biology SL,Ecology,Energy Flow & Trophic Levels,20,8,4,2,6
IB,Grade 12,Biology SL,Ecology,Mesocosms & Experiments,20,8,4,2,6
IB,Grade 12,Biology SL,Ecology,Nutrient Cycles: Carbon & Nitrogen,20,8,4,2,6
IB,Grade 12,Biology SL,Ecology,Population Sampling & Niches,20,8,4,2,6
IB,Grade 12,Biology SL,Ecology,"Species, Communities & Ecosystems",20,8,4,2,6
IB,Grade 12,Biology SL,Evolution & Biodiversity,Classification & Cladistics,20,8,4,2,6
IB,Grade 12,Biology SL,Evolution & Biodiversity,"Evidence for Evolution (Fossils, Biogeography)",20,8,4,2,6
IB,Grade 12,Biology SL,Evolution & Biodiversity,Genetic Variation: Mutation & Meiosis,20,8,4,2,6
IB,Grade 12,Biology SL,Evolution & Biodiversity,Natural Selection & Adaptation,20,8,4,2,6
IB,Grade 12,Biology SL,Evolution & Biodiversity,Phylogenetic Trees (Reading & Inference),20,8,4,2,6
IB,Grade 12,Biology SL,Evolution & Biodiversity,Speciation: Isolation & Barriers,20,8,4,2,6
IB,Grade 12,Biology SL,Experimental Design & Data Analysis,"Data Tables, Graphs & Best-Fit Lines",20,8,4,2,6
IB,Grade 12,Biology SL,Experimental Design & Data Analysis,Measurement Error & Uncertainty,20,8,4,2,6
IB,Grade 12,Biology SL,Experimental Design & Data Analysis,"Sampling, Bias & Ethics",20,8,4,2,6
IB,Grade 12,Biology SL,Experimental Design & Data Analysis,Scientific Communication & Evaluation,20,8,4,2,6
IB,Grade 12,Biology SL,Experimental Design & Data Analysis,"Statistical Ideas (Mean/SD, Error Bars)",20,8,4,2,6
IB,Grade 12,Biology SL,Experimental Design & Data Analysis,"Variables, Controls & Hypotheses",20,8,4,2,6
IB,Grade 12,Biology SL,Genetics,"Chromosomes, Karyotyping & Non-disjunction",20,8,4,2,6
IB,Grade 12,Biology SL,Genetics,Ethics of Genetics & GMOs (Intro),20,8,4,2,6
IB,Grade 12,Biology SL,Genetics,"Gene Pools, Selection & Evolution (Intro)",20,8,4,2,6
IB,Grade 12,Biology SL,Genetics,"Genes, Alleles & Loci; Mutations",20,8,4,2,6
IB,Grade 12,Biology SL,Genetics,Inheritance Patterns (Monohybrid Basics),20,8,4,2,6
IB,Grade 12,Biology SL,Genetics,Meiosis & Genetic Variation,20,8,4,2,6
IB,Grade 12,Biology SL,Human Physiology,Circulation & Cardiac Cycle,20,8,4,2,6
IB,Grade 12,Biology SL,Human Physiology,Digestion & Absorption,20,8,4,2,6
IB,Grade 12,Biology SL,Human Physiology,Hormones & Homeostasis (Glucose/Osmoregulation),20,8,4,2,6
IB,Grade 12,Biology SL,Human Physiology,Immunity: Antibodies & Vaccination (Intro),20,8,4,2,6
IB,Grade 12,Biology SL,Human Physiology,Neurons & Synapses (Intro),20,8,4,2,6
IB,Grade 12,Biology SL,Human Physiology,Ventilation & Gas Exchange,20,8,4,2,6
IB,Grade 12,Biology SL,Molecular Biology,Biotech Basics: PCR & Gel Electrophoresis (Intro),20,8,4,2,6
IB,Grade 12,Biology SL,Molecular Biology,"Carbohydrates, Lipids & Proteins",20,8,4,2,6
IB,Grade 12,Biology SL,Molecular Biology,Central Dogma (Basic): Replication/Transcription/Translation,20,8,4,2,6
IB,Grade 12,Biology SL,Molecular Biology,DNA vs RNA Structure,20,8,4,2,6
IB,Grade 12,Biology SL,Molecular Biology,Enzymes: Mechanism & Factors,20,8,4,2,6
IB,Grade 12,Biology SL,Molecular Biology,Water Properties & Biological Significance,20,8,4,2,6
IB,Grade 11,Biology HL,Cell Biology,Cell Division: Cell Cycle & Mitosis,26,10,6,2,8
IB,Grade 11,Biology HL,Cell Biology,Cell Theory & Cell Size (SA:V),26,10,6,2,8
IB,Grade 11,Biology HL,Cell Biology,Membrane Structure & Transport (Intro),26,10,6,2,8
IB,Grade 11,Biology HL,Cell Biology,"Microscopy, Magnification & Measurement",26,10,6,2,8
IB,Grade 11,Biology HL,Cell Biology,Origin of Cells & Endosymbiosis,26,10,6,2,8
IB,Grade 11,Biology HL,Cell Biology,Prokaryotic vs Eukaryotic Ultrastructure,26,10,6,2,8
IB,Grade 11,Biology HL,Ecology,Climate Change: Evidence & Impacts (Intro),26,10,6,2,8
IB,Grade 11,Biology HL,Ecology,Energy Flow & Trophic Levels,26,10,6,2,8
IB,Grade 11,Biology HL,Ecology,Mesocosms & Experiments,26,10,6,2,8
IB,Grade 11,Biology HL,Ecology,Nutrient Cycles: Carbon & Nitrogen,26,10,6,2,8
IB,Grade 11,Biology HL,Ecology,Population Sampling & Niches,26,10,6,2,8
IB,Grade 11,Biology HL,Ecology,"Species, Communities & Ecosystems",26,10,6,2,8
IB,Grade 11,Biology HL,Evolution & Biodiversity,Classification & Cladistics,26,10,6,2,8
IB,Grade 11,Biology HL,Evolution & Biodiversity,"Evidence for Evolution (Fossils, Biogeography)",26,10,6,2,8
IB,Grade 11,Biology HL,Evolution & Biodiversity,Genetic Variation: Mutation & Meiosis,26,10,6,2,8
IB,Grade 11,Biology HL,Evolution & Biodiversity,Natural Selection & Adaptation,26,10,6,2,8
IB,Grade 11,Biology HL,Evolution & Biodiversity,Phylogenetic Trees (Reading & Inference),26,10,6,2,8
IB,Grade 11,Biology HL,Evolution & Biodiversity,Speciation: Isolation & Barriers,26,10,6,2,8
IB,Grade 11,Biology HL,Experimental Design & Data Analysis,"Data Tables, Graphs & Best-Fit Lines",26,10,6,2,8
IB,Grade 11,Biology HL,Experimental Design & Data Analysis,Measurement Error & Uncertainty,26,10,6,2,8
IB,Grade 11,Biology HL,Experimental Design & Data Analysis,"Sampling, Bias & Ethics",26,10,6,2,8
IB,Grade 11,Biology HL,Experimental Design & Data Analysis,Scientific Communication & Evaluation,26,10,6,2,8
IB,Grade 11,Biology HL,Experimental Design & Data Analysis,"Statistical Ideas (Mean/SD, Error Bars)",26,10,6,2,8
IB,Grade 11,Biology HL,Experimental Design & Data Analysis,"Variables, Controls & Hypotheses",26,10,6,2,8
IB,Grade 11,Biology HL,Genetics,"Chromosomes, Karyotyping & Non-disjunction",26,10,6,2,8
IB,Grade 11,Biology HL,Genetics,Ethics of Genetics & GMOs (Intro),26,10,6,2,8
IB,Grade 11,Biology HL,Genetics,"Gene Pools, Selection & Evolution (Intro)",26,10,6,2,8
IB,Grade 11,Biology HL,Genetics,"Genes, Alleles & Loci; Mutations",26,10,6,2,8
IB,Grade 11,Biology HL,Genetics,Inheritance Patterns (Monohybrid Basics),26,10,6,2,8
IB,Grade 11,Biology HL,Genetics,Meiosis & Genetic Variation,26,10,6,2,8
IB,Grade 11,Biology HL,Human Physiology,Circulation & Cardiac Cycle,26,10,6,2,8
IB,Grade 11,Biology HL,Human Physiology,Digestion & Absorption,26,10,6,2,8
IB,Grade 11,Biology HL,Human Physiology,Hormones & Homeostasis (Glucose/Osmoregulation),26,10,6,2,8
IB,Grade 11,Biology HL,Human Physiology,Immunity: Antibodies & Vaccination (Intro),26,10,6,2,8
IB,Grade 11,Biology HL,Human Physiology,Neurons & Synapses (Intro),26,10,6,2,8
IB,Grade 11,Biology HL,Human Physiology,Ventilation & Gas Exchange,26,10,6,2,8
IB,Grade 11,Biology HL,Molecular Biology,Biotech Basics: PCR & Gel Electrophoresis (Intro),26,10,6,2,8
IB,Grade 11,Biology HL,Molecular Biology,"Carbohydrates, Lipids & Proteins",26,10,6,2,8
IB,Grade 11,Biology HL,Molecular Biology,Central Dogma (Basic): Replication/Transcription/Translation,26,10,6,2,8
IB,Grade 11,Biology HL,Molecular Biology,DNA vs RNA Structure,26,10,6,2,8
IB,Grade 11,Biology HL,Molecular Biology,Enzymes: Mechanism & Factors,26,10,6,2,8
IB,Grade 11,Biology HL,Molecular Biology,Water Properties & Biological Significance,26,10,6,2,8
IB,Grade 11,Biology SL,Cell Biology,Cell Division: Cell Cycle & Mitosis,20,8,4,2,6
IB,Grade 11,Biology SL,Cell Biology,Cell Theory & Cell Size (SA:V),20,8,4,2,6
IB,Grade 11,Biology SL,Cell Biology,Membrane Structure & Transport (Intro),20,8,4,2,6
IB,Grade 11,Biology SL,Cell Biology,"Microscopy, Magnification & Measurement",20,8,4,2,6
IB,Grade 11,Biology SL,Cell Biology,Origin of Cells & Endosymbiosis,20,8,4,2,6
IB,Grade 11,Biology SL,Cell Biology,Prokaryotic vs Eukaryotic Ultrastructure,20,8,4,2,6
IB,Grade 11,Biology SL,Ecology,Climate Change: Evidence & Impacts (Intro),20,8,4,2,6
IB,Grade 11,Biology SL,Ecology,Energy Flow & Trophic Levels,20,8,4,2,6
IB,Grade 11,Biology SL,Ecology,Mesocosms & Experiments,20,8,4,2,6
IB,Grade 11,Biology SL,Ecology,Nutrient Cycles: Carbon & Nitrogen,20,8,4,2,6
IB,Grade 11,Biology SL,Ecology,Population Sampling & Niches,20,8,4,2,6
IB,Grade 11,Biology SL,Ecology,"Species, Communities & Ecosystems",20,8,4,2,6
IB,Grade 11,Biology SL,Evolution & Biodiversity,Classification & Cladistics,20,8,4,2,6
IB,Grade 11,Biology SL,Evolution & Biodiversity,"Evidence for Evolution (Fossils, Biogeography)",20,8,4,2,6
IB,Grade 11,Biology SL,Evolution & Biodiversity,Genetic Variation: Mutation & Meiosis,20,8,4,2,6
IB,Grade 11,Biology SL,Evolution & Biodiversity,Natural Selection & Adaptation,20,8,4,2,6
IB,Grade 11,Biology SL,Evolution & Biodiversity,Phylogenetic Trees (Reading & Inference),20,8,4,2,6
IB,Grade 11,Biology SL,Evolution & Biodiversity,Speciation: Isolation & Barriers,20,8,4,2,6
IB,Grade 11,Biology SL,Experimental Design & Data Analysis,"Data Tables, Graphs & Best-Fit Lines",20,8,4,2,6
IB,Grade 11,Biology SL,Experimental Design & Data Analysis,Measurement Error & Uncertainty,20,8,4,2,6
IB,Grade 11,Biology SL,Experimental Design & Data Analysis,"Sampling, Bias & Ethics",20,8,4,2,6
IB,Grade 11,Biology SL,Experimental Design & Data Analysis,Scientific Communication & Evaluation,20,8,4,2,6
IB,Grade 11,Biology SL,Experimental Design & Data Analysis,"Statistical Ideas (Mean/SD, Error Bars)",20,8,4,2,6
IB,Grade 11,Biology SL,Experimental Design & Data Analysis,"Variables, Controls & Hypotheses",20,8,4,2,6
IB,Grade 11,Biology SL,Genetics,"Chromosomes, Karyotyping & Non-disjunction",20,8,4,2,6
IB,Grade 11,Biology SL,Genetics,Ethics of Genetics & GMOs (Intro),20,8,4,2,6
IB,Grade 11,Biology SL,Genetics,"Gene Pools, Selection & Evolution (Intro)",20,8,4,2,6
IB,Grade 11,Biology SL,Genetics,"Genes, Alleles & Loci; Mutations",20,8,4,2,6
IB,Grade 11,Biology SL,Genetics,Inheritance Patterns (Monohybrid Basics),20,8,4,2,6
IB,Grade 11,Biology SL,Genetics,Meiosis & Genetic Variation,20,8,4,2,6
IB,Grade 11,Biology SL,Human Physiology,Circulation & Cardiac Cycle,20,8,4,2,6
IB,Grade 11,Biology SL,Human Physiology,Digestion & Absorption,20,8,4,2,6
IB,Grade 11,Biology SL,Human Physiology,Hormones & Homeostasis (Glucose/Osmoregulation),20,8,4,2,6
IB,Grade 11,Biology SL,Human Physiology,Immunity: Antibodies & Vaccination (Intro),20,8,4,2,6
IB,Grade 11,Biology SL,Human Physiology,Neurons & Synapses (Intro),20,8,4,2,6
IB,Grade 11,Biology SL,Human Physiology,Ventilation & Gas Exchange,20,8,4,2,6
IB,Grade 11,Biology SL,Molecular Biology,Biotech Basics: PCR & Gel Electrophoresis (Intro),20,8,4,2,6
IB,Grade 11,Biology SL,Molecular Biology,"Carbohydrates, Lipids & Proteins",20,8,4,2,6
IB,Grade 11,Biology SL,Molecular Biology,Central Dogma (Basic): Replication/Transcription/Translation,20,8,4,2,6
IB,Grade 11,Biology SL,Molecular Biology,DNA vs RNA Structure,20,8,4,2,6
IB,Grade 11,Biology SL,Molecular Biology,Enzymes: Mechanism & Factors,20,8,4,2,6
IB,Grade 11,Biology SL,Molecular Biology,Water Properties & Biological Significance,20,8,4,2,6
IB,Grade 10,Biology MYP,Biomolecules & Enzymes,"Carbohydrates, Lipids, Proteins (Functions)",18,7,4,2,5
IB,Grade 10,Biology MYP,Biomolecules & Enzymes,Energy in Food & Calorimetry (Basic),18,7,4,2,5
IB,Grade 10,Biology MYP,Biomolecules & Enzymes,Enzyme Structure & Active Site,18,7,4,2,5
IB,Grade 10,Biology MYP,Biomolecules & Enzymes,Factors Affecting Enzyme Activity,18,7,4,2,5
IB,Grade 10,Biology MYP,Biomolecules & Enzymes,"Food Tests (Benedict’s, Biuret, Iodine)",18,7,4,2,5
IB,Grade 10,Biology MYP,Biomolecules & Enzymes,Lock-and-Key vs Induced-Fit (Concept),18,7,4,2,5
IB,Grade 10,Biology MYP,Cell Structure & Function,Animal vs Plant Cells; Organelles,18,7,4,2,5
IB,Grade 10,Biology MYP,Cell Structure & Function,Cell Membrane & Transport (Diffusion/Osmosis),18,7,4,2,5
IB,Grade 10,Biology MYP,Cell Structure & Function,Cell Specialization & Stem Cells (Intro),18,7,4,2,5
IB,Grade 10,Biology MYP,Cell Structure & Function,Microscopy & Magnification Calculations,18,7,4,2,5
IB,Grade 10,Biology MYP,Cell Structure & Function,Prokaryotic vs Eukaryotic Cells,18,7,4,2,5
IB,Grade 10,Biology MYP,Cell Structure & Function,Surface Area:Volume & Cell Size,18,7,4,2,5
IB,Grade 10,Biology MYP,Cellular Processes,ATP as Cellular Energy Currency,18,7,4,2,5
IB,Grade 10,Biology MYP,Cellular Processes,Aerobic vs Anaerobic Respiration,18,7,4,2,5
IB,Grade 10,Biology MYP,Cellular Processes,"Limiting Factors (Light, CO2, Temp)",18,7,4,2,5
IB,Grade 10,Biology MYP,Cellular Processes,Photosynthesis: Overview & Word Equation,18,7,4,2,5
IB,Grade 10,Biology MYP,Cellular Processes,Practical Investigations (Yeast/Elodea),18,7,4,2,5
IB,Grade 10,Biology MYP,Cellular Processes,Respiration vs Photosynthesis Comparison,18,7,4,2,5
